"","PlantID","date","time.start","duration..min.","s.species","pre.post","visitor.rtu","v.species","behaviour","part.used","visitor.description","voucher."
"219","293","4.26.2017","13:04",15,"larrea","post","asilid","asilidae","landing","branch","",""
"220","293","4.26.2017","13:04",15,"larrea","post","gb.solitary.bee","Eucera","fly near","branch, flower","",""
"221","188","4.26.2017","13:22",15,"larrea","post","?","?","fly near","flower","",""
"222","188","4.26.2017","13:22",15,"larrea","post","fly","fly","fly near","branch","small",""
"223","188","4.26.2017","13:22",15,"larrea","post","solitary.bee","solitary.bee","fly near","branch","medium",""
"224","188","4.26.2017","13:22",15,"larrea","post","formicidae","ant","landing","understory","many",""
"225","188","4.26.2017","13:22",15,"larrea","post","solitary.bee","solitary.bee","landing","flower","medium",""
"226","282","4.26.2017","13:39",15,"larrea","post","ladybeetle","lady beetle","landing","branch","",""
"227","262","4.26.2017","13:57",15,"larrea","post","centris","centris rhodopus","landing","flower","",""
"228","262","4.26.2017","13:57",15,"larrea","post","fly","fly","fly near","branch","tiny, hovering on buds",""
"229","262","4.26.2017","13:57",15,"larrea","post","fly","fly","fly near","branch","tiny, hovering on buds",""
"230","262","4.26.2017","13:57",15,"larrea","post","gb.solitary.bee","Eucera","fly near","flower","hovering",""
"231","262","4.26.2017","13:57",15,"larrea","post","centris","centris rhodopus","landing","flower","",""
"232","262","4.26.2017","13:57",15,"larrea","post","centris","centris rhodopus","landing","flower","",""
"233","262","4.26.2017","13:57",15,"larrea","post","pt.gb.solitary bee","solitary.bee","landing","flower","point, grey/black stripes",""
"234","262","4.26.2017","13:57",15,"larrea","post","pt.gb.solitary bee","solitary.bee","landing","flower","point, grey/black stripes",""
"235","262","4.26.2017","13:57",15,"larrea","post","pt.gb.solitary bee","solitary.bee","landing","flower","point, grey/black stripes",""
"236","262","4.26.2017","13:57",15,"larrea","post","muscoid","Muscoidea","landing","branch","large",""
"237","262","4.26.2017","13:57",15,"larrea","post","fly?","fly","fly near","flower","",""
"238","262","4.26.2017","13:57",15,"larrea","post","centris","centris rhodopus","fly near","branch","",""
"239","262","4.26.2017","13:57",15,"larrea","post","centris","centris rhodopus","landing","flower","",""
"240","262","4.26.2017","13:57",15,"larrea","post","apis.mellifera","Apis mellifera","landing","flower","",""
"241","114","4.27.2017","12:50",15,"larrea","post","solitary.bee","Calliopsis?","fly near","flower","yellow and black abdomen, not fuzzy, distinct",""
"242","114","4.27.2017","12:50",15,"larrea","post","apis.mellifera","Apis mellifera","landing","flower","",""
"243","114","4.27.2017","12:50",15,"larrea","post","centris","centris rhodopus","landing","flower","",""
"244","114","4.27.2017","12:50",15,"larrea","post","solitary.bee","Calliopsis?","fly near","flower","yellow and black abdomen",""
"245","114","4.27.2017","12:50",15,"larrea","post","fuzzygrey.solitary.bee","Hesperapis larrae","fly near","branch","small, very fuzzy, grey is like halo",""
"246","114","4.27.2017","12:50",15,"larrea","post","fly","fly","fly near","branch","tiny",""
"247","114","4.27.2017","12:50",15,"larrea","post","fly","fly","fly near","branch","tiny",""
"248","114","4.27.2017","12:50",15,"larrea","post","gb.solitary.bee","Eucera","fly near","flower","",""
"249","114","4.27.2017","12:50",15,"larrea","post","gb.solitary.bee","Eucera","fly near","flower","",""
"250","114","4.27.2017","12:50",15,"larrea","post","gb.solitary.bee","Eucera","fly near","flower","",""
"251","114","4.27.2017","12:50",15,"larrea","post","gb.solitary.bee","Eucera","landing","flower","",""
"252","269","4.27.2017","13:10",15,"larrea","post","solitary.bee","solitary.bee","fly near","flower","medium",""
"253","269","4.27.2017","13:10",15,"larrea","post","lepidoptera","lepidoptera","fly near","flower","swallowtail",""
"254","269","4.27.2017","13:10",15,"larrea","post","solitary.bee","solitary.bee","fly near","flower","medium",""
"255","269","4.27.2017","13:10",15,"larrea","post","apis.mellifera","Apis mellifera","fly near","flower","",""
"256","269","4.27.2017","13:10",15,"larrea","post","fuzzygrey.solitary.bee","Hesperapis larrae","fly near","flower","",""
"257","269","4.27.2017","13:10",15,"larrea","post","bombylid","bombylidae","landing","understory","black and white wings, brown/pink abdomen",""
"258","269","4.27.2017","13:10",15,"larrea","post","fuzzygrey.solitary.bee","Hesperapis larrae","fly near","branch","",""
"259","269","4.27.2017","13:10",15,"larrea","post","fuzzygrey.solitary.bee","Hesperapis larrae","fly near","branch","",""
"260","269","4.27.2017","13:10",15,"larrea","post","apis.mellifera","Apis mellifera","landing","flower","",""
"261","269","4.27.2017","13:10",15,"larrea","post","fly","fly","fly near","flower","",""
"262","269","4.27.2017","13:10",15,"larrea","post","fly","fly","fly near","flower","",""
"263","269","4.27.2017","13:10",15,"larrea","post","bee","hoplitis","","also photo","V",""
"264","270","4.27.2017","13:29",15,"larrea","post","apis.mellifera","Apis mellifera","landing","flower","",""
"265","270","4.27.2017","13:29",15,"larrea","post","apis.mellifera","Apis mellifera","landing","flower","",""
"266","270","4.27.2017","13:29",15,"larrea","post","ladybeetle","lady beetle","landing","flower","",""
"267","270","4.27.2017","13:29",15,"larrea","post","apis.mellifera","Apis mellifera","landing","flower","",""
"268","270","4.27.2017","13:29",15,"larrea","post","fly","diptera","fly near","branch","tiny",""
"269","270","4.27.2017","13:29",15,"larrea","post","apis.mellifera","Apis mellifera","landing","flower","",""
"270","270","4.27.2017","13:29",15,"larrea","post","fuzzygrey.solitary.bee","Hesperapis larrae","fly near","flower","",""
"271","270","4.27.2017","13:29",15,"larrea","post","apis.mellifera","Apis mellifera","landing","flower","",""
