"","uniID","mean.visit.length","mean.fl.visits.per.visit","mean.un.visits.per.visit","PlantID","SecondaryID","Cam","treatment","flowering","Date","TimeOut","flowers.shrub","flowers.pot","het.shrub.blooming.neighbours","het.cactus.blooming.neighbours","understory.richness","het.annual.floral.density","understory.assoc","total.visits","Length","pos.Length","dec.Length","visits.per.hour","t.group","mean.fl.visits.per.hour","mean.un.visits.per.hour"
"44","LS54.13.2017",0.0222883597883598,1.57142857142857,1.57142857142857,"199","","LS5","shrub","pre","4.13.2017","12:03",1,2,0,0,1,0,"no",21,"1:01:09",2018-03-09 01:01:09,1.01916666666667,20.6050695012265,"shrub pre",1.54187594907137,1.54187594907137
"45","LS64.13.2017",0.0141666666666667,1,1,"300","","LS6","shrub","pre","4.13.2017","12:08",0,14,0,0,2,7,"no",5,"1:05:26",2018-03-09 01:05:26,1.09055555555556,4.58481915435558,"shrub pre",0.916963830871116,0.916963830871116
"46","LO14.14.2017",0.0259114583333333,1.8125,1.5625,"268","","LO1","open","pre","4.14.2017","14:17",3,13,0,0,3,0,"no",32,"1:20:35",2018-03-09 01:20:35,1.34305555555556,23.8262668045502,"open pre",1.34953464322647,1.16339193381593
"47","LO24.14.2017",0.01125,1,1,"269","","LO2","open","pre","4.14.2017","14:22",1,15,0,0,1,0,"no",2,"1:15:42",2018-03-09 01:15:42,1.26166666666667,1.58520475561427,"open pre",0.792602377807133,0.792602377807133
"48","LO34.14.2017",0.360833333333333,1,1,"184","","LO3","open","pre","4.14.2017","14:32",1,1,0,0,2,0,"no",2,"1:06:14",2018-03-09 01:06:14,1.10388888888889,1.81177654755913,"open pre",0.905888273779567,0.905888273779567
"49","LO44.14.2017",0.0122222222222222,1.33333333333333,1.33333333333333,"188","","LO4","open","pre","4.14.2017","14:38",0,14,0,0,2,0,"no",3,"1:04:34",2018-03-09 01:04:34,1.07611111111111,2.787816210635,"open pre",1.23902942694889,1.23902942694889
"50","LO54.14.2017",NA,NA,NA,"197","","LO5","open","pre","4.14.2017","14:46",1,14,0,0,3,0,"no",0,"1:15:42",2018-03-09 01:15:42,1.26166666666667,0,"open pre",NA,NA
"51","LO64.14.2017",0.0704166666666667,1,1,"195","","LO6","open","pre","4.14.2017","14:51",1,6,1,0,2,0,"no",4,"1:14:39",2018-03-09 01:14:39,1.24416666666667,3.21500334896182,"open pre",0.803750837240455,0.803750837240455
"52","LS14.14.2017",0.0801960784313726,1,1,"268","","LS1","shrub","pre","4.14.2017","14:17",3,13,1,0,2,0,"ephedra",17,"1:19:24",2018-03-09 01:19:24,1.32333333333333,12.8463476070529,"shrub pre",0.755667506297229,0.755667506297229
"53","LS24.14.2017",0.010462962962963,1,1,"269","","LS2","shrub","pre","4.14.2017","14:22",1,15,2,0,1,0,"no",3,"1:42:53",2018-03-09 01:42:53,1.71472222222222,1.7495545115827,"shrub pre",0.583184837194233,0.583184837194233
