Rep,Slide,Transect,Het Grains,Malacothrix grains,,,,,,,,,,,,,
S3,3.3,stigma,,0,,,,,,,,,,,,,
O3,1.1,1,,8,2,,,,,,,,,,,,
O3,1.1,2,2,1,2,,,,,,,,,,,,
O3,1.1,3,,1,1,,,,,,,,,,,,
O3,1.1,4,,0,,,,,,,,,,,,,
O3,1.1,5,,1,,,,,,,,,,,,,
O3,1.1,6,,3,,,,,,,,,,,,,
O3,1.1,7,,1,2,,,,,,,,,,,,
O3,1.1,8,,2,,,,,,,,,,,,,
O3,1.1,9,1,2,1,3,,,,,,,,,,,
O3,1.1,10,2,2,2,2,3,3,,,,,,,,,
O3,1.1,stigma,,18,,,,,,,,,,,,,
O3,1.2,1,1,2,1,1,1,,,,,,,,,,
O3,1.2,2,2,1,4,,,,,,,,,,,,
O3,1.2,3,,5,1,,,,,,,,,,,,
O3,1.2,4,2,3,6,,,,,,,,,,,,
O3,1.2,5,,0,,,,,,,,,,,,,
O3,1.2,6,,0,,,,,,,,,,,,,
O3,1.2,7,,1,,,,,,,,,,,,,
O3,1.2,8,,0,,,,,,,,,,,,,
O3,1.2,9,,1,,,,,,,,,,,,,
O3,1.2,10,1,0,,,,,,,,,,,,,
O3,1.2,stigma,,6,,,,,,,,,,,,,
O3,1.3,1,,2,1,1,,,,,,,,,,,
O3,1.3,2,1,8,1,,,,,,,,,,,,
O3,1.3,3,,0,,,,,,,,,,,,,
O3,1.3,4,,1,,,,,,,,,,,,,
O3,1.3,5,1,0,,,,,,,,,,,,,
O3,1.3,6,,1,1,,,,,,,,,,,,
O3,1.3,7,,1,1,,,,,,,,,,,,
O3,1.3,8,2,1,1,1,,,,,,,,,,,
O3,1.3,9,1,0,,,,,,,,,,,,,
O3,1.3,10,,0,,,,,,,,,,,,,
O3,1.3,stigma,1,5,11,,,,,,,,,,,,
O3,2.1,1,1,5,1,2,6,,,,,,,,,,
O3,2.1,2,1,5,9,1,1,2,,,,,,,,,
O3,2.1,3,,1,1,2,2,,,,,,,,,,
O3,2.1,4,,0,,,,,,,,,,,,,
O3,2.1,5,1,0,,,,,,,,,,,,,
O3,2.1,6,,1,2,,,,,,,,,,,,
O3,2.1,7,1,1,1,1,2,,,,,,,,,,
