InsectID,Location,Date,PlantID,Magnet,Microsite,Flowering,Quantity,Order,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,Species,highest.rtu,Common Name,Notes,Specimen Location,ID Keys Used
Shrub.289.April.12.2017.Braun.2,pinned,4.12.2017,289,larrea,shrub,pre,1,Hymenoptera,,Halictidae,,,Lasioglossum,,,Lasioglossum,,,,
Open.190.April.13.2017.Braun.1,pinned,4.13.2017,190,larrea,open,pre,1,Hymenoptera,,Halictidae,,,Halictus,,,Halictus,,"apical hair bands, submarginal cell veins strong",,
Open.190.April.13.2017.Braun.2,pinned,4.13.2017,190,larrea,open,pre,1,Hymenoptera,,Asilidae,,,,,,Asilidae,,,,
Open.190.April.13.2017.Braun.3,pinned,4.13.2017,190,larrea,open,pre,1,Hymenoptera,,Asilidae,,,,,,Asilidae,,,,
Open.190.April.13.2017.Braun.4,pinned,4.13.2017,190,larrea,open,pre,1,Diptera,,Syrphidae,,,Scaeva/Eupeodes,,,Scaeva/Eupeodes,,,,
Shrub.190.April.13.2017.Braun.1,pinned,4.13.2017,190,larrea,shrub,pre,1,Diptera,,Syrphidae,,,Scaeva/Eupeodes,,,Scaeva/Eupeodes,,,,
Shrub.190.April.13.2017.Braun.2,pinned,4.13.2017,190,larrea,shrub,pre,1,Hymenoptera,,Crabonidae,,,Miscophus,,,Miscophus,,,,
Shrub.190.April.13.2017.Braun.3,pinned,4.13.2017,190,larrea,shrub,pre,1,Hymenoptera,,Halictidae,,,Lasioglossum,,,Lasioglossum,,,,
Open.267.April.13.2017.Braun.1,pinned,4.13.2017,267,larrea,open,pre,1,Diptera,,Syrphidae,,,Scaeva/Eupeodes,,,Scaeva/Eupeodes,,,,
Open.267.April.13.2017.Braun.2,pinned,4.13.2017,267,larrea,open,pre,1,Diptera,,Bombyliidae,Usiinae,,,,,Usiinae,,,,
Shrub.267.April.13.2017.Braun.1,pinned,4.13.2017,267,larrea,shrub,pre,1,Diptera,,Tachinidae,,,,,,Tachinidae,,,,
Shrub.267.April.13.2017.Braun.2,pinned,4.13.2017,267,larrea,shrub,pre,1,Hymenoptera,,Crabonidae?,,,,,,Crabonidae?,,,,
Open.272.April.13.2017.Braun.1,pinned,4.13.2017,272,larrea,open,pre,1,Diptera,,Sarcophagidae,,,,,,Sarcophagidae,,,,
Shrub.272.April.13.2017.Braun.1,pinned,4.13.2017,272,larrea,shrub,pre,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Shrub.272.April.13.2017.Braun.2,pinned,4.13.2017,272,larrea,shrub,pre,1,Hymenoptera,,Halictidae,,,Lasioglossum,,,Lasioglossum,,,,
Open.284.April.13.2017.Braun.1,pinned,4.13.2017,284,larrea,open,pre,1,Hymenoptera,,Halictidae,,,Lasioglossum,,,Lasioglossum,,,,
Open.293.April.13.2017.Braun.1,pinned,4.13.2017,293,larrea,open,pre,1,Diptera,,Syrphidae,,,Scaeva/Eupeodes,,,Scaeva/Eupeodes,,,,
Open.294.April.13.2017.Braun.1,pinned,4.13.2017,294,larrea,open,pre,1,Diptera,,Syrphidae,,,Scaeva/Eupeodes,,,Scaeva/Eupeodes,,,,
Shrub.186.April.15.2017.Braun.1,pinned,4.15.2017,186,larrea,shrub,pre,1,Hymenoptera,,Halictidae,,,Lasioglossum,,,Lasioglossum,,,,
Shrub.186.April.15.2017.Braun.2,pinned,4.15.2017,186,larrea,shrub,pre,1,Hymenoptera,,Halictidae,,,Lasioglossum,,,Lasioglossum,,,,
Shrub.186.April.15.2017.Braun.3,pinned,4.15.2017,186,larrea,shrub,pre,1,Hymenoptera,,Halictidae,,,Lasioglossum,,,Lasioglossum,,,,
Open.199.April.15.2017.Braun.1,pinned,4.15.2017,199,larrea,open,pre,1,Hymenoptera,,Halictidae,,,Lasioglossum,,,Lasioglossum,,,,
Shrub.199.April.15.2017.Braun.1,pinned,4.15.2017,199,larrea,shrub,pre,1,Hemiptera,,Reduviidae,Harpactorinae,,,,,Harpactorinae,,,,
Shrub.199.April.15.2017.Braun.2,pinned,4.15.2017,199,larrea,shrub,pre,1,Hymenoptera,,Pompilidae,,,,,,Pompilidae,,,,
Shrub.199.April.15.2017.Braun.3,pinned,4.15.2017,199,larrea,shrub,pre,1,Hymenoptera,,Halictidae,,,Lasioglossum,,,Lasioglossum,,,,
Open.262.April.15.2017.Braun.1,pinned,4.15.2017,262,larrea,open,pre,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Shrub.262.April.15.2017.Braun.1,pinned,4.15.2017,262,larrea,shrub,pre,1,Hymenoptera,,Halictidae,,,Lasioglossum,,,Lasioglossum,,,,
Shrub.262.April.15.2017.Braun.2,pinned,4.15.2017,262,larrea,shrub,pre,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Shrub.262.April.15.2017.Braun.3,pinned,4.15.2017,262,larrea,shrub,pre,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Shrub.262.April.15.2017.Braun.4,pinned,4.15.2017,262,larrea,shrub,pre,1,Coleoptera,,Meloidae,,,Cysteodemus,,,Cysteodemus,Desert Spider beetle,,,
Shrub.269.April.15.2017.Braun.1,pinned,4.15.2017,269,larrea,shrub,pre,1,Coleoptera,,Meloidae,,,Eupompha,,Eupompha elegans,Eupompha elegans,,,,
Shrub.269.April.15.2017.Braun.2,pinned,4.15.2017,269,larrea,shrub,pre,1,Diptera,,Syrphidae,,,Scaeva/Eupeodes,,,Scaeva/Eupeodes,,,,
Shrub.269.April.15.2017.Braun.3,pinned,4.15.2017,269,larrea,shrub,pre,1,Diptera,,Syrphidae,,,Scaeva/Eupeodes,,,Scaeva/Eupeodes,,,,
Shrub.276.April.15.2017.Braun.1,pinned,4.15.2017,276,larrea,shrub,pre,1,Diptera,,Therevidae,,,,,,Therevidae,,,,
Shrub.276.April.15.2017.Braun.2,pinned,4.15.2017,276,larrea,shrub,pre,1,Hymenoptera,,Halictidae,,,Lasioglossum,,,Lasioglossum,,,,
Open.300.April.15.2017.Braun.1,pinned,4.15.2017,300,larrea,open,pre,1,Hymenoptera,,Mutillidae,,,,,,Mutillidae,,,,
Open.300.April.15.2017.Braun.2,pinned,4.15.2017,300,larrea,open,pre,1,Hymenoptera,,Halictidae,,,Lasioglossum,,,Lasioglossum,,,,
Open.300.April.15.2017.Braun.3,pinned,4.15.2017,300,larrea,open,pre,1,Hymenoptera,,Crabonidae,,,Miscophus,,,Miscophus,,,,
Open.300.April.15.2017.Braun.4,pinned,4.15.2017,300,larrea,open,pre,1,Diptera,,Muscidae,,,,,,Muscidae,,,,
Shrub.300.April.15.2017.Braun.1,pinned,4.15.2017,300,larrea,shrub,pre,1,Diptera,,ACalypterate,,,damaged,,,ACalypterate,,,,
Shrub.300.April.15.2017.Braun.2,pinned,4.15.2017,300,larrea,shrub,pre,1,Hymenoptera,,Apidae,,,Apis,,Apis mellifera,Apis mellifera,honeybee,,,
Open.146.April.16.2017.Braun.1,pinned,4.16.2017,146,larrea,open,pre,1,Hymenoptera,,Halictidae,,,Lasioglossum,,,Lasioglossum,,,,
Open.146.April.16.2017.Braun.2,pinned,4.16.2017,146,larrea,open,pre,1,Coleoptera,,Meloidae,,,Eupompha,,Eupompha elegans,Eupompha elegans,,,,
Open.188.April.16.2017.Braun.1,pinned,4.16.2017,188,larrea,open,pre,1,Hymenoptera,,Halictidae,,,Lasioglossum,,,Lasioglossum,,,,
Open.188.April.16.2017.Braun.2,pinned,4.16.2017,188,larrea,open,pre,1,Hymenoptera,,Halictidae,,,Lasioglossum,,,Lasioglossum,,,,
Shrub.188.April.16.2017.Braun.1,pinned,4.16.2017,188,larrea,shrub,pre,1,Hymenoptera,,Halictidae,,,Lasioglossum,,,Lasioglossum,,,,
Shrub.188.April.16.2017.Braun.2,pinned,4.16.2017,188,larrea,shrub,pre,1,Hymenoptera,,Halictidae,,,Lasioglossum,,,Lasioglossum,,,,
Open.195.April.16.2017.Braun.1,pinned,4.16.2017,195,larrea,open,pre,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Open.195.April.16.2017.Braun.2,pinned,4.16.2017,195,larrea,open,pre,1,Hymenoptera,,Halictidae,,,Lasioglossum,,,Lasioglossum,,,,
Open.195.April.16.2017.Braun.3,pinned,4.16.2017,195,larrea,open,pre,1,Diptera,,Syrphidae,,,Scaeva/Eupeodes,,,Scaeva/Eupeodes,,,,
Open.195.April.16.2017.Braun.4,pinned,4.16.2017,195,larrea,open,pre,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Shrub.195.April.16.2017.Braun.1,pinned,4.16.2017,195,larrea,shrub,pre,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Open.268.April.16.2017.Braun.1,pinned,4.16.2017,268,larrea,open,pre,1,Hymenoptera,,Halictidae,,,Lasioglossum,,,Lasioglossum,,,,
Shrub.268.April.16.2017.Braun.1,pinned,4.16.2017,268,larrea,shrub,pre,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Shrub.268.April.16.2017.Braun.2,pinned,4.16.2017,268,larrea,shrub,pre,1,Diptera,,Bombyliidae,,,,yellow hair,,Bombyliidae,,,,
Shrub.268.April.16.2017.Braun.3,pinned,4.16.2017,268,larrea,shrub,pre,1,Hymenoptera,,Crabonidae,,,Miscophus,,,Miscophus,,,,
Open.298.April.16.2017.Braun.1,pinned,4.16.2017,298,larrea,open,pre,1,Hymenoptera,,Halictidae,,,Lasioglossum,,,Lasioglossum,,,,
Shrub.298.April.16.2017.Braun.1,pinned,4.16.2017,298,larrea,shrub,pre,1,Hymenoptera,,Chrysididae,,,,,,Chrysididae,,,,
Shrub.298.April.16.2017.Braun.2,pinned,4.16.2017,298,larrea,shrub,pre,1,Hymenoptera,,Megachilidae,,,Atoposmia??,,,Atoposmia??,,,,
Shrub.298.April.16.2017.Braun.3,pinned,4.16.2017,298,larrea,shrub,pre,1,Diptera,,Bombyliidae,,,Aphoebantus,,,Aphoebantus,,,,
Shrub.278.April.17.2017.Braun.1,pinned,4.17.2017,278,larrea,shrub,pre,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Open.280.April.17.2017.Braun.1,pinned,4.17.2017,280,larrea,open,pre,1,Hymenoptera,,Apidae,,,Eucera,,,Eucera,,,,
Open.280.April.17.2017.Braun.2,pinned,4.17.2017,280,larrea,open,pre,1,Diptera,,Sarcophagidae,,,,,,Sarcophagidae,,,,
Open.280.April.17.2017.Braun.3,pinned,4.17.2017,280,larrea,open,pre,1,Diptera,,Sarcophagidae,,,,,,Sarcophagidae,,,,
Shrub.280.April.17.2017.Braun.1,pinned,4.17.2017,280,larrea,shrub,pre,1,Hemiptera,,Pentamoidae,,,,,,Pentamoidae,,,,
Shrub.280.April.17.2017.Braun.2,pinned,4.17.2017,280,larrea,shrub,pre,1,Diptera,,Syrphidae,,,Scaeva/Eupeodes,,,Scaeva/Eupeodes,,,,
Open.282.April.17.2017.Braun.1,pinned,4.17.2017,282,larrea,open,pre,1,Hymenoptera,,Halictidae,,,Lasioglossum,,,Lasioglossum,,,,
Shrub.282.April.17.2017.Braun.1,pinned,4.17.2017,282,larrea,shrub,pre,1,Hymenoptera,,? White face looks like miscophus but not stripey n shiny,,,,,,Hymenoptera,,,,
