PlantID,date,time.start,duration (min),s.species,pre.post,visitor.rtu,v.species,behaviour,part.used,visitor.description,voucher?
264,4.16.2017,14:03,15,larrea,pre,syrphid,scaeva pyrastri,fly near,branch,,
264,4.16.2017,14:03,15,larrea,pre,muscoid,Muscoidea,landing,branch,shiny,
264,4.16.2017,14:03,15,larrea,pre,syrphid,scaeva pyrastri,fly near,branch,,
264,4.16.2017,14:03,15,larrea,pre,syrphid,scaeva pyrastri,fly near,branch,,
276,4.16.2017,14:23,15,larrea,pre,fly,fly,fly near,branch,tiny,
276,4.16.2017,14:23,15,larrea,pre,fly,fly,fly near,branch,tiny,
276,4.16.2017,14:23,15,larrea,pre,fly,fly,fly near,branch,small,
276,4.16.2017,14:23,15,larrea,pre,fly,fly,fly near,branch,tiny,
276,4.16.2017,14:23,15,larrea,pre,fly,fly,fly near,branch,tiny,
276,4.16.2017,14:23,15,larrea,pre,wasp,parasitoid wasp,crawling,branch,"parastoid, tiny, on buds",
276,4.16.2017,14:23,15,larrea,pre,fly,fly,landing,branch,tiny,
276,4.16.2017,14:23,15,larrea,pre,fly,fly,landing,branch,tiny,
276,4.16.2017,14:23,15,larrea,pre,fly,fly,landing,branch,tiny,
276,4.16.2017,14:23,15,larrea,pre,acari,acari,crawling,branch,,
276,4.16.2017,14:23,15,larrea,pre,wasp,parasitoid wasp,crawling,branch,"parastoid, tiny, on buds",
276,4.16.2017,14:23,15,larrea,pre,wasp,parasitoid wasp,crawling,branch,"parastoid, tiny, on buds",
286,4.16.2017,14:43,15,larrea,pre,fly,fly,fly near,branch,tiny,
286,4.16.2017,14:43,15,larrea,pre,ant,ant,crawling,branch,,
286,4.16.2017,14:43,15,larrea,pre,syrphid,scaeva pyrastri,fly near,branch,,
286,4.16.2017,14:43,15,larrea,pre,fly,fly,fly near,branch,,
286,4.16.2017,14:43,15,larrea,pre,wasp,ammophila,crawling,understory,"on ground, red and black thread-waisted wasp",
291,4.16.2017,15:02,15,larrea,pre,syrphid,scaeva pyrastri,landing,branch,,
291,4.16.2017,15:02,15,larrea,pre,fly,fly,fly near,understory,tiny,
291,4.16.2017,15:02,15,larrea,pre,fly,fly,landing,branch,medium,
255,4.16.2017,15:42,15,buckhorn,pre,fly,fly,landing,branch,tiny,
255,4.16.2017,15:42,15,buckhorn,pre,acari,acari,landing,branch,red spider mite,
255,4.16.2017,15:42,15,buckhorn,pre,fly,flyd,landing,branch,"tiny, pale",
255,4.16.2017,15:42,15,buckhorn,pre,ladybeetle,lady beetle,landing,branch,,
255,4.16.2017,15:42,15,buckhorn,pre,ant,ant,crawling,branch,long bodied,
255,4.16.2017,15:42,15,buckhorn,pre,fly,tephritidae,displaying,branch,"green-eyed, black spot",
255,4.16.2017,15:42,15,buckhorn,pre,syrphid,scaeva pyrastri,fly near,branch,,
255,4.16.2017,15:42,15,buckhorn,pre,fly,fly,landing,branch,"tiny, black",
255,4.16.2017,15:42,15,buckhorn,pre,syrphid,scaeva pyrastri,fly near,branch,,
255,4.16.2017,15:42,15,buckhorn,pre,fly,tephritidae,displaying,branch,"green-eyed, black spot",
252,4.16.2017,16:00,15,buckhorn,pre,ladybeetle,lady beetle,landing,branch,,
252,4.16.2017,16:00,15,buckhorn,pre,fly,fly,mating,branch,tiny,
252,4.16.2017,16:00,15,buckhorn,pre,fly,fly,mating,branch,tiny,
252,4.16.2017,16:00,15,buckhorn,pre,fly,fly,landing,branch,"small, black",
252,4.16.2017,16:00,15,buckhorn,pre,fly,fly,landing,branch,"small, black",
252,4.16.2017,16:00,15,buckhorn,pre,fly,fly,landing,branch,"tiny, black",
252,4.16.2017,16:00,15,buckhorn,pre,coleoptera,beetle,landing,branch,black,
252,4.16.2017,16:00,15,buckhorn,pre,fly,fly,landing,branch,"tiny, black",
245,4.16.2017,16:20,15,buckhorn,pre,coreidae,leptoglossus clypeus,landing,branch,leptoglossus clypeus,photo
245,4.16.2017,16:20,15,buckhorn,pre,ladybeetle,lady,landing,branch,,
245,4.16.2017,16:20,15,buckhorn,pre,wasp,parasitoid wasp,landing,branch,tiny,
245,4.16.2017,16:20,15,buckhorn,pre,muscoid,Muscoidea,landing,branch,medium,
245,4.16.2017,16:20,15,buckhorn,pre,cuckoo wasp,chrysididae,landing,branch,medium,
243,4.16.2017,16:36,15,buckhorn,pre,ladybeetle,lady beetle,landing,branch,non-asian,
243,4.16.2017,16:36,15,buckhorn,pre,fly,fly,landing,branch,tiny,
243,4.16.2017,16:36,15,buckhorn,pre,fly,fly,landing,branch,"green fly, brown head",
243,4.16.2017,16:36,15,buckhorn,pre,fly,fly,landing,branch,brown,
243,4.16.2017,16:36,15,buckhorn,pre,fly,fly,landing,branch,tiny,
243,4.16.2017,16:36,15,buckhorn,pre,fly,fly,landing,branch,tiny,
243,4.16.2017,16:36,15,buckhorn,pre,fly,fly,landing,branch,"tiny, black",
243,4.16.2017,16:36,15,buckhorn,pre,fly,fly,landing,branch,brown,
226,4.18.2017,14:20,15,buckhorn,pre,fly,fly,fly near,branch,tiny,
226,4.18.2017,14:20,15,buckhorn,pre,fly,fly,fly near,branch,tiny,
226,4.18.2017,14:20,15,buckhorn,pre,spider,spider,habitat,branch,on web,
216,4.18.2017,14:21,15,buckhorn,pre,ladybeetle,lady beetle,landing,branch,round,
216,4.18.2017,14:21,15,buckhorn,pre,ladybeetle,lady beetle,landing,branch,oblong,
216,4.18.2017,14:21,15,buckhorn,pre,fly,fly,fly near,branch,tiny,
216,4.18.2017,14:21,15,buckhorn,pre,fly,fly,landing,branch,"green, brown",
216,4.18.2017,14:21,15,buckhorn,pre,fly,fly,landing,branch,tiny,
216,4.18.2017,14:21,15,buckhorn,pre,ant,ant,crawling,branch,,
216,4.18.2017,14:21,15,buckhorn,pre,fly,fly,landing,branch,"green, brown",
216,4.18.2017,14:21,15,buckhorn,pre,fly,fly,landing,branch,small,V
216,4.18.2017,14:21,15,buckhorn,pre,fly,fly,landing,branch,"green, brown",
216,4.18.2017,14:21,15,buckhorn,pre,muscoid,Muscoidea,landing,branch,"dark, shiny, house?",
216,4.18.2017,14:21,15,buckhorn,pre,hemiptera,Hemiptera,landing,branch,,V
216,4.18.2017,14:21,15,buckhorn,pre,fly,fly,landing,branch,small,
281,4.19.2017,13:37,15,larrea,pre,syrphid,fly,fly near,branch,inspecting buds,
281,4.19.2017,13:37,15,larrea,pre,fly,fly,fly near,branch,tiny,
281,4.19.2017,13:37,15,larrea,pre,muscoid,Muscoidea,fly near,branch,medium,
281,4.19.2017,13:37,15,larrea,pre,fly,fly,fly near,branch,small,
281,4.19.2017,13:37,15,larrea,pre,fly,fly,fly near,branch,small,
281,4.19.2017,13:37,15,larrea,pre,fly,fly,fly near,branch,small,
281,4.19.2017,13:37,15,larrea,pre,muscoid,Muscoidea,landing,branch,medium,
281,4.19.2017,13:37,15,larrea,pre,fly,fly,landing,branch,tiny,
281,4.19.2017,13:37,15,larrea,pre,fly,fly,fly near,branch,"over buds, tiny",
281,4.19.2017,13:37,15,larrea,pre,fly,fly,fly near,branch,"over buds, tiny",
281,4.19.2017,13:37,15,larrea,pre,fly,fly,fly near,branch,"over buds, tiny",
281,4.19.2017,13:37,15,larrea,pre,fly,fly,fly near,branch,"over buds, tiny",
198,4.19.2017,14:06,15,larrea,pre,fly,fly,landing,branch,tiny,
198,4.19.2017,14:06,15,larrea,pre,syrphid,Syrphidae,fly near,branch,"first amsinkia, then larrea buds",
198,4.19.2017,14:06,15,larrea,pre,fly,fly,landing,branch,tiny,
198,4.19.2017,14:06,15,larrea,pre,crabronidae,crabronidae,crawling,understory,ground,
198,4.19.2017,14:06,15,larrea,pre,fly,fly,landing,branch,tiny,
183,4.19.2017,14:33,15,larrea,pre,wasp,ammophila,landing,branch,black and red thread waisted wasp,
183,4.19.2017,14:33,15,larrea,pre,fly,fly,landing,branch,tiny,
183,4.19.2017,14:33,15,larrea,pre,pentamoidae,Pentamoidae,crawling,branch,same as sample,
181,4.19.2017,14:58,15,larrea,pre,hummingbird,hummingbird,perched,branch,,
181,4.19.2017,14:58,15,larrea,pre,syrphid,Syrphidae,landing,branch,,
181,4.19.2017,14:58,15,larrea,pre,wasp,wasp,landing,branch,black,
181,4.19.2017,14:58,15,larrea,pre,fly,fly,landing,branch,tiny,
250,4.19.2017,16:01,15,buckhorn,pre,chrysomelid,chrysomelid,landing,branch,black/purp,
250,4.19.2017,16:01,15,buckhorn,pre,ladybeetle,ladybeetle,landing,branch,,V
228,4.19.2017,16:29,15,buckhorn,pre,fly,fly,landing,branch,tiny,
228,4.19.2017,16:29,15,buckhorn,pre,fly,fly,landing,branch,tiny,
228,4.19.2017,16:29,15,buckhorn,pre,green.lacewing - egg,green.lacewing - egg,habitat,branch,egg,
212,4.19.2017,16:51,15,buckhorn,pre,ladybeetle,ladybeetle,landing,branch,,
212,4.19.2017,16:51,15,buckhorn,pre,fly,fly,landing,branch,tiny,
212,4.19.2017,16:51,15,buckhorn,pre,green.lacewing - egg,green.lacewing - egg,habitat,branch,egg,
212,4.19.2017,16:51,15,buckhorn,pre,hemiptera,Hemiptera,landing,branch,very small brown,
212,4.19.2017,16:51,15,buckhorn,pre,chrysomelid,chrysomelid,landing,branch,black/purp,
212,4.19.2017,16:51,15,buckhorn,pre,fly,fly,landing,branch,small brown,
260,4.19.2017,15:40,15,buckhorn,pre,ant,ant,crawling,branch,,
260,4.19.2017,15:40,15,buckhorn,pre,fly,fly,landing,branch,tiny black,
260,4.19.2017,15:40,15,buckhorn,pre,fly,fly,landing,branch,tiny black,
260,4.19.2017,15:40,15,buckhorn,pre,fly,,displaying,branch,"green-eyed, black spot",
260,4.19.2017,15:40,15,buckhorn,pre,fly,,landing,branch,small,
251,4.21.2017,14:53,15,buckhorn,pre,fly,,landing,branch,tiny,
251,4.21.2017,14:53,15,buckhorn,pre,fly,,landing,branch,brown,
251,4.21.2017,14:53,15,buckhorn,pre,ladybeetle,,landing,branch,,
251,4.21.2017,14:53,15,buckhorn,pre,fly,,landing,branch,brown,
240,4.21.2017,15:10,15,buckhorn,pre,chrysomelid,,landing,branch,black/purp,
240,4.21.2017,15:10,15,buckhorn,pre,fly,,landing,branch,tiny,
240,4.21.2017,15:10,15,buckhorn,pre,fly,tephritidae,displaying,branch,"green-eyed, black spot",
240,4.21.2017,15:10,15,buckhorn,pre,fly,,landing,branch,"tiny, black",
240,4.21.2017,15:10,15,buckhorn,pre,fly,,landing,branch,"small, brown",
233,4.21.2017,15:28,15,buckhorn,pre,spider,,habitat,branch,on web,
233,4.21.2017,15:28,15,buckhorn,pre,muscoid,,fly near,branch,inspecting buds,
233,4.21.2017,15:28,15,buckhorn,pre,ladybeetle,,landing,branch,non-asian,
233,4.21.2017,15:28,15,buckhorn,pre,ladybeetle,,landing,branch,,
224,4.21.2017,15:45,15,buckhorn,pre,ladybeetle,,landing,branch,,
224,4.21.2017,15:45,15,buckhorn,pre,chrysomelid,,landing,branch,black/purp,
224,4.21.2017,15:45,15,buckhorn,pre,fly,,landing,branch,"black, small",
224,4.21.2017,15:45,15,buckhorn,pre,fly,,landing,branch,brown/green,
224,4.21.2017,15:45,15,buckhorn,pre,fly,,landing,branch,small,
224,4.21.2017,15:45,15,buckhorn,pre,fly,,landing,branch,"small, brown",
224,4.21.2017,15:45,15,buckhorn,pre,ladybeetle,,landing,branch,,
224,4.21.2017,15:45,15,buckhorn,pre,flies,,millions on everything!!,,,
289,4.22.2017,14:28,15,larrea,post,fly,fly,landing,branch,tiny,
