InsectID,Location,Date,PlantID,Magnet,Microsite,Flowering,Quantity,Order,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,Species,highest.rtu,Common Name,Notes,Specimen Location,ID Keys Used
Shrub.274.April.20.2017.Braun.1,pinned,4.20.2017,274,larrea,shrub,pre,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Open.182.April.22.2017.Braun.1,pinned,4.22.2017,182,larrea,open,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Shrub.275.April.22.2017.Braun.4,pinned,4.22.2017,275,larrea,shrub,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Open.276.April.22.2017.Braun.2,pinned,4.22.2017,276,larrea,open,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Open.146.April.23.2017.Braun.2,pinned,4.23.2017,146,larrea,open,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Open.267.April.23.2017.Braun.1,pinned,4.23.2017,267,larrea,open,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Open.192.April.26.2017.Braun.3,pinned,4.26.2017,192,larrea,open,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Shrub.196.April.26.2017.Braun.2,pinned,4.26.2017,196,larrea,shrub,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Open.264.April.26.2017.Braun.2,pinned,4.26.2017,264,larrea,open,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Open.301.April.26.2017.Braun.2,pinned,4.26.2017,301,larrea,open,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Shrub.262.April.27.2017.Braun.1,pinned,4.27.2017,262,larrea,shrub,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Shrub.262.April.27.2017.Braun.2,pinned,4.27.2017,262,larrea,shrub,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Open.282.April.27.2017.Braun.2,pinned,4.27.2017,282,larrea,open,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Shrub.282.April.27.2017.Braun.1,pinned,4.27.2017,282,larrea,shrub,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Shrub.297.April.27.2017.Braun.1,pinned,4.27.2017,297,larrea,shrub,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Open.104.April.30.2017.Braun.1,pinned,4.30.2017,104,larrea,open,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Shrub.104.April.30.2017.Braun.1,pinned,4.30.2017,104,larrea,shrub,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Open.268.April.30.2017.Braun.4,pinned,4.30.2017,268,larrea,open,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Shrub.268.April.30.2017.Braun.3,pinned,4.30.2017,268,larrea,shrub,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Shrub.271.May.1.2017.Braun.3,pinned,5.1.2017,271,larrea,shrub,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Open.296.May.1.2017.Braun.1,pinned,5.1.2017,296,larrea,open,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Shrub.187.May.3.2017.Braun.3,pinned,5.3.2017,187,larrea,shrub,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Open.263.May.3.2017.Braun.1,pinned,5.3.2017,263,larrea,open,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Open.263.May.3.2017.Braun.2,pinned,5.3.2017,263,larrea,open,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Open.263.May.3.2017.Braun.3,pinned,5.3.2017,263,larrea,open,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Open.263.May.3.2017.Braun.4,pinned,5.3.2017,263,larrea,open,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Open.290.May.3.2017.Braun.1,pinned,5.3.2017,290,larrea,open,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Open.198.May.4.2017.Braun.2,pinned,5.4.2017,198,larrea,open,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Shrub.198.May.4.2017.Braun.4,pinned,5.4.2017,198,larrea,shrub,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Shrub.198.May.4.2017.Braun.7,pinned,5.4.2017,198,larrea,shrub,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Open.273.May.4.2017.Braun.2,pinned,5.4.2017,273,larrea,open,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Open.283.May.4.2017.Braun.3,pinned,5.4.2017,283,larrea,open,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Open.283.May.4.2017.Braun.4,pinned,5.4.2017,283,larrea,open,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Shrub.283.May.4.2017.Braun.3,pinned,5.4.2017,283,larrea,shrub,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Open.291.May.4.2017.Braun.1,pinned,5.4.2017,291,larrea,open,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Open.291.May.4.2017.Braun.2,pinned,5.4.2017,291,larrea,open,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Open.193.May.5.2017.Braun.4,pinned,5.5.2017,193,larrea,open,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Open.193.May.5.2017.Braun.5,pinned,5.5.2017,193,larrea,open,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Shrub.193.May.5.2017.Braun.5,pinned,5.5.2017,193,larrea,shrub,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Shrub.193.May.5.2017.Braun.7,pinned,5.5.2017,193,larrea,shrub,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Open.281.May.5.2017.Braun.1,pinned,5.5.2017,281,larrea,open,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Open.281.May.5.2017.Braun.2,pinned,5.5.2017,281,larrea,open,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
