"","Recorder","Rep","plant.id","microsite","flowering","magnet.species","phyto.species","video.date","video.length","flower.fov","visitor.descript","visitor.rtu.original","highest.rtu","flies.on","visitor.behaviour","other.description","start.time","end.time","total.time","flowers.visits","unique.fl.visited","X","X.1","id.check","uniID","pos.total.time","dec.total.time","prop.fl.visited","prop.un.fl.visited"
"39","Jenna","LO2","193","open","pre","larrea","malacothrix","4.10.2017","1:30:48",9,"","syrphid","eupeodes/scaeva","Y","","","1:16:30","1:18:30","0:02:00",1,1,"FALSE","","4.10.2017 193 LO2 open pre","LO24.10.2017",2019-03-04 00:02:00,0.0333333333333333,0.111111111111111,0.111111111111111
"40","Jenna","LO2","193","open","pre","larrea","malacothrix","4.10.2017","1:30:48",9,"","syrphid","eupeodes/scaeva","Y","","","1:16:47","1:18:31","0:01:44",2,2,"0:10:46","","4.10.2017 193 LO2 open pre","LO24.10.2017",2019-03-04 00:01:44,0.0288888888888889,0.222222222222222,0.222222222222222
"41","Jenna","LO2","193","open","pre","larrea","malacothrix","4.10.2017","1:30:48",9,"","syrphid","eupeodes/scaeva","Y","","","1:18:41","1:19:27","0:00:46",1,1,"0:12:40","","4.10.2017 193 LO2 open pre","LO24.10.2017",2019-03-04 00:00:46,0.0127777777777778,0.111111111111111,0.111111111111111
"42","Jenna","LO2","193","open","pre","larrea","malacothrix","4.10.2017","1:30:48",9,"","syrphid","eupeodes/scaeva","Y","","","1:20:04","1:28:54","0:08:50",1,1,"0:14:03","","4.10.2017 193 LO2 open pre","LO24.10.2017",2019-03-04 00:08:50,0.147222222222222,0.111111111111111,0.111111111111111
"43","Jenna","LO2","193","open","pre","larrea","malacothrix","4.10.2017","1:30:48",9,"","syrphid","eupeodes/scaeva","Y","on outer part of wilty flower","","1:22:58","1:30:57","0:07:59",1,1,"0:16:57","","4.10.2017 193 LO2 open pre","LO24.10.2017",2019-03-04 00:07:59,0.133055555555556,0.111111111111111,0.111111111111111
"44","Jenna","LO2","193","open","pre","larrea","malacothrix","4.10.2017","1:30:48",9,"","syrphid","eupeodes/scaeva","Y","","","1:30:02","1:30:48","0:00:46",1,1,"0:24:01","","4.10.2017 193 LO2 open pre","LO24.10.2017",2019-03-04 00:00:46,0.0127777777777778,0.111111111111111,0.111111111111111
"45","Jenna","LO3","187","open","pre","larrea","malacothrix","4.10.2017","0:52:39",12,"","syrphid","eupeodes/scaeva","Y","","","0:03:27","0:03:48","0:00:21",3,3,"","","4.10.2017 187 LO3 open pre","LO34.10.2017",2019-03-04 00:00:21,0.00583333333333333,0.25,0.25
"46","Jenna","LO3","187","open","pre","larrea","malacothrix","4.10.2017","0:52:39",12,"","syrphid","eupeodes/scaeva","Y","","","0:03:42","0:07:52","0:04:10",1,1,"","","4.10.2017 187 LO3 open pre","LO34.10.2017",2019-03-04 00:04:10,0.0694444444444444,0.0833333333333333,0.0833333333333333
"47","Jenna","LO3","187","open","pre","larrea","malacothrix","4.10.2017","0:52:39",12,"","fly?bee?","syrphid","Y","","","0:04:03","0:04:26","0:00:23",1,1,"","","4.10.2017 187 LO3 open pre","LO34.10.2017",2019-03-04 00:00:23,0.00638888888888889,0.0833333333333333,0.0833333333333333
"48","Jenna","LO3","187","open","pre","larrea","malacothrix","4.10.2017","0:52:39",12,"","syrphid?","eupeodes/scaeva","Y","","","0:05:12","0:07:14","0:02:02",1,1,"","","4.10.2017 187 LO3 open pre","LO34.10.2017",2019-03-04 00:02:02,0.0338888888888889,0.0833333333333333,0.0833333333333333
"49","Jenna","LO3","187","open","pre","larrea","malacothrix","4.10.2017","0:52:39",12,"","syrphid?","eupeodes/scaeva","Y","","","0:06:30","0:07:51","0:01:21",1,1,"","","4.10.2017 187 LO3 open pre","LO34.10.2017",2019-03-04 00:01:21,0.0225,0.0833333333333333,0.0833333333333333
