"","uniID","sp.simp","Quantity"
"592","4.12.2017 191 open","fly",1
"593","4.12.2017 196 shrub","hopper",3
"594","4.12.2017 196 shrub","true bug",1
"595","4.12.2017 196 shrub","true bug",2
"596","4.12.2017 196 shrub","true bug",1
"597","4.12.2017 196 shrub","micro beefly",3
"598","4.12.2017 198 open","true bug",1
"599","4.12.2017 198 open","hopper",1
"600","4.12.2017 198 open","micro beefly",2
"601","4.12.2017 265 open","micro beefly",1
"602","4.12.2017 191 shrub","hopper",6
"603","4.12.2017 191 shrub","true bug",1
"604","4.12.2017 191 shrub","micro beefly",1
"605","4.12.2017 191 shrub","fly",1
"606","4.12.2017 191 shrub","fly",1
"607","4.12.2017 180 shrub","micro beefly",2
"608","4.12.2017 180 shrub","hopper",7
"609","4.12.2017 180 shrub","true bug",1
"610","4.12.2017 180 shrub","true bug",2
"611","4.12.2017 180 shrub","true bug",1
"612","4.12.2017 289 shrub","spider",2
"613","4.12.2017 289 shrub","hopper",2
"614","4.12.2017 289 shrub","true bug",1
"615","4.12.2017 289 shrub","micro beefly",2
"616","4.12.2017 289 shrub","fly",1
"617","4.12.2017 289 shrub","fly",1
"618","4.12.2017 289 shrub","fly",1
"619","4.12.2017 265 shrub","true bug",3
"620","4.12.2017 265 shrub","hopper",1
"621","4.12.2017 265 shrub","true bug",2
"622","4.12.2017 265 shrub","micro beefly",3
"623","4.12.2017 289 open","micro beefly",4
"624","4.12.2017 289 open","true bug",1
"625","4.12.2017 289 open","fly",1
"626","4.12.2017 289 open","hopper",1
"627","4.12.2017 289 open","hemi-nymph",1
"628","4.12.2017 289 open","fly",1
"629","4.12.2017 198 shrub","spider",1
"630","4.12.2017 198 shrub","hopper",7
"631","4.12.2017 198 shrub","beetle",1
"632","4.12.2017 198 shrub","true bug",2
"633","4.12.2017 198 shrub","true bug",1
"634","4.12.2017 198 shrub","micro beefly",3
"635","4.12.2017 198 shrub","fly",1
"636","4.12.2017 198 shrub","fly",1
"637","4.12.2017 196 open","lep",1
"638","4.12.2017 196 open","hopper",1
"639","4.12.2017 196 open","true bug",2
"640","4.12.2017 196 open","micro beefly",2
"641","4.12.2017 196 open","fly",1
"642","4.13.2017 293 open","micro beefly",2
"643","4.13.2017 293 open","hemi-nymph",3
"644","4.13.2017 190 open","fly",1
"645","4.13.2017 190 open","hopper",1
