"","Recorder","Rep","plant.id","microsite","flowering","magnet.species","phyto.species","video.date","video.length","flower.fov","visitor.species","visitor.descript","visitor.rtu","visitor.behaviour","other.description","start.time","end.time","total.time","flowers.visits","unique.fl.visited","X","X.1","X.2","X.3","X.4","X.5","uniID","pos.total.time","dec.total.time","prop.fl.visited","prop.un.fl.visited"
"44","Brian","LS3","289","shrub","pre","Larrea","malacothrix","4.11.2017","0:31:34",NA,"","","bee!","","","0:05:49","0:06:03","0:00:14",1,1,NA,NA,NA,NA,NA,NA,"LS34.11.2017",2018-03-12 00:00:14,0.00388888888888889,NA,NA
"45","Brian","LS4","191","shrub","pre","Larrea","malacothrix","4.11.2017","0:57:04",NA,"","","fly","","","0:38:37","0:44:06","0:05:29",1,1,NA,NA,NA,NA,NA,NA,"LS44.11.2017",2018-03-12 00:05:29,0.0913888888888889,NA,NA
"46","Brian","LS4","191","shrub","pre","Larrea","malacothrix","4.11.2017","0:57:04",NA,"","","fly","","","0:55:19","0:57:04","0:01:45",1,1,NA,NA,NA,NA,NA,NA,"LS44.11.2017",2018-03-12 00:01:45,0.0291666666666667,NA,NA
"47","Brian","LS6","194","shrub","pre","Larrea","malacothrix","4.11.2017","1:08:22",NA,"","","?","","","0:00:00","0:00:51","0:00:51",1,1,NA,NA,NA,NA,NA,NA,"LS64.11.2017",2018-03-12 00:00:51,0.0141666666666667,NA,NA
"48","Brian","LS6","194","shrub","pre","Larrea","malacothrix","4.11.2017","1:08:22",NA,"","","?","","","0:03:11","0:06:31","0:03:20",4,3,NA,NA,NA,NA,NA,NA,"LS64.11.2017",2018-03-12 00:03:20,0.0555555555555556,NA,NA
"49","Brian","LS6","194","shrub","pre","Larrea","malacothrix","4.11.2017","1:08:22",NA,"","","?","","","0:03:24","0:07:11","0:03:47",2,1,NA,NA,NA,NA,NA,NA,"LS64.11.2017",2018-03-12 00:03:47,0.0630555555555556,NA,NA
"50","Brian","LS6","194","shrub","pre","Larrea","malacothrix","4.11.2017","1:08:22",NA,"","","?","","","0:14:05","0:17:24","0:03:19",1,1,NA,NA,NA,NA,NA,NA,"LS64.11.2017",2018-03-12 00:03:19,0.0552777777777778,NA,NA
"51","Brian","LS6","194","shrub","pre","Larrea","malacothrix","4.11.2017","1:08:22",NA,"","","?","","","0:18:28","0:20:46","0:02:18",2,2,NA,NA,NA,NA,NA,NA,"LS64.11.2017",2018-03-12 00:02:18,0.0383333333333333,NA,NA
"52","Brian","LS6","194","shrub","pre","Larrea","malacothrix","4.11.2017","1:08:22",NA,"","","?","","","0:58:29","0:58:39","0:00:10",1,1,NA,NA,NA,NA,NA,NA,"LS64.11.2017",2018-03-12 00:00:10,0.00277777777777778,NA,NA
"53","Brian","LS6","194","shrub","pre","Larrea","malacothrix","4.11.2017","1:08:22",NA,"","","?","","","0:58:45","0:59:18","0:00:33",2,2,NA,NA,NA,NA,NA,NA,"LS64.11.2017",2018-03-12 00:00:33,0.00916666666666667,NA,NA
"54","Jenna","LO1","146","open","pre","larrea","malacothrix","4.10.2017","1:22:51",NA,"syrphid","","syrphid","pollinate","","0:20:23","0:22:14","0:01:51",1,1,NA,NA,NA,NA,NA,NA,"LO14.10.2017",2018-03-12 00:01:51,0.0308333333333333,NA,NA
"55","Jenna","LO1","146","open","pre","larrea","malacothrix","4.10.2017","1:22:51",NA,"syrphid","","syrphid","pollinate","","0:21:49","0:26:42","0:04:53",2,1,NA,NA,NA,NA,NA,NA,"LO14.10.2017",2018-03-12 00:04:53,0.0813888888888889,NA,NA
"56","Jenna","LO1","146","open","pre","larrea","malacothrix","4.10.2017","1:22:51",NA,"syrphid","","syrphid","pollinate","","0:27:46","0:28:19","0:00:33",2,2,NA,NA,NA,NA,NA,NA,"LO14.10.2017",2018-03-12 00:00:33,0.00916666666666667,NA,NA
"57","Jenna","LO1","146","open","pre","larrea","malacothrix","4.10.2017","1:22:51",NA,"syrphid","","syrphid","pollinate","","0:29:42","0:29:50","0:00:08",1,1,NA,NA,NA,NA,NA,NA,"LO14.10.2017",2018-03-12 00:00:08,0.00222222222222222,NA,NA
"58","Jenna","LO1","146","open","pre","larrea","malacothrix","4.10.2017","1:22:51",NA,"syrphid","","syrphid","pollinate","","0:30:39","0:31:17","0:00:38",1,1,NA,NA,NA,NA,NA,NA,"LO14.10.2017",2018-03-12 00:00:38,0.0105555555555556,NA,NA
"59","Jenna","LO1","146","open","pre","larrea","malacothrix","4.10.2017","1:22:51",NA,"syrphid","","syrphid","pollinate","","0:30:53","0:31:30","0:00:37",3,3,NA,NA,NA,NA,NA,NA,"LO14.10.2017",2018-03-12 00:00:37,0.0102777777777778,NA,NA
"60","Jenna","LO1","146","open","pre","larrea","malacothrix","4.10.2017","1:22:51",NA,"syrphid","","syrphid","pollinate","","0:31:54","0:32:08","0:00:14",1,1,NA,NA,NA,NA,NA,NA,"LO14.10.2017",2018-03-12 00:00:14,0.00388888888888889,NA,NA
"61","Jenna","LO1","146","open","pre","larrea","malacothrix","4.10.2017","1:22:51",NA,"syrphid","","syrphid","pollinate","","0:32:10","0:34:38","0:02:28",3,3,NA,NA,NA,NA,NA,NA,"LO14.10.2017",2018-03-12 00:02:28,0.0411111111111111,NA,NA
"62","Jenna","LO1","146","open","pre","larrea","malacothrix","4.10.2017","1:22:51",NA,"syrphid","","syrphid","pollinate","disappears out of sight","0:33:09","0:33:17","0:00:08",1,1,NA,NA,NA,NA,NA,NA,"LO14.10.2017",2018-03-12 00:00:08,0.00222222222222222,NA,NA
"63","Jenna","LO1","146","open","pre","larrea","malacothrix","4.10.2017","1:22:51",NA,"syrphid","","syrphid","pollinate","","0:34:25","0:34:39","0:00:14",1,1,NA,NA,NA,NA,NA,NA,"LO14.10.2017",2018-03-12 00:00:14,0.00388888888888889,NA,NA
"64","Jenna","LO1","146","open","pre","larrea","malacothrix","4.10.2017","1:22:51",NA,"syrphid","","syrphid","pollinate","","0:34:42","0:37:38","0:02:56",1,1,NA,NA,NA,NA,NA,NA,"LO14.10.2017",2018-03-12 00:02:56,0.0488888888888889,NA,NA
"65","Jenna","LO1","146","open","pre","larrea","malacothrix","4.10.2017","1:22:51",NA,"syrphid","","syrphid","pollinate","","0:42:33","0:53:06","0:10:33",5,5,NA,NA,NA,NA,NA,NA,"LO14.10.2017",2018-03-12 00:10:33,0.175833333333333,NA,NA
"66","Jenna","LO1","146","open","pre","larrea","malacothrix","4.10.2017","1:22:51",NA,"syrphid","","syrphid","pollinate","","0:47:23","0:51:19","0:03:56",4,4,NA,NA,NA,NA,NA,NA,"LO14.10.2017",2018-03-12 00:03:56,0.0655555555555556,NA,NA
"67","Jenna","LO1","146","open","pre","larrea","malacothrix","4.10.2017","1:22:51",NA,"syrphid","","syrphid","pollinate","","0:52:41","0:53:06","0:00:25",1,1,NA,NA,NA,NA,NA,NA,"LO14.10.2017",2018-03-12 00:00:25,0.00694444444444444,NA,NA
"68","Jenna","LO1","146","open","pre","larrea","malacothrix","4.10.2017","1:22:51",NA,"syrphid","","syrphid","pollinate","","1:06:53","1:08:00","0:01:07",2,2,NA,NA,NA,NA,NA,NA,"LO14.10.2017",2018-03-12 00:01:07,0.0186111111111111,NA,NA
"69","Jenna","LO1","146","open","pre","larrea","malacothrix","4.10.2017","1:22:51",NA,"syrphid","","syrphid","pollinate","","1:07:01","1:08:00","0:00:59",1,1,NA,NA,NA,NA,NA,NA,"LO14.10.2017",2018-03-12 00:00:59,0.0163888888888889,NA,NA
"70","Jenna","LO1","146","open","pre","larrea","malacothrix","4.10.2017","1:22:51",NA,"syrphid","","syrphid","pollinate","","1:08:05","1:08:42","0:00:37",4,4,NA,NA,NA,NA,NA,NA,"LO14.10.2017",2018-03-12 00:00:37,0.0102777777777778,NA,NA
"71","Jenna","LO1","146","open","pre","larrea","malacothrix","4.10.2017","1:22:51",NA,"syrphid","","syrphid","pollinate","","1:12:14","1:20:02","0:07:48",2,2,NA,NA,NA,NA,NA,NA,"LO14.10.2017",2018-03-12 00:07:48,0.13,NA,NA
